ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/0222,key_18817,"5c900cc9-c8c0-45e9-a615-5894027a6fdf
86c85201-c6a2-41d0-a30a-50fd96f11e55
23cccef9-3a36-4d31-861c-fc9729a9ff72",,histoire et archéologie,,,
http://data.europa.eu/esco/isced-f/0223,key_18818,"b379aa99-dab0-47ed-ae2f-dc11285f940f
3c8db307-597c-449a-8c7e-f154912fd4b7
6ae39b18-9f42-4296-a6c7-13e17350994a",,philosophie et morale,,,
http://data.europa.eu/esco/isced-f/0228,key_18819,"ee4620b7-b32a-455b-816e-22ce78245c65
14f8172f-8ded-48a7-a2ce-81fe73a85881
3c14be44-6a3d-46bd-9a52-94cf239255f2",,programmes interdisciplinaires et certifications impliquant les lettres,,,
http://data.europa.eu/esco/isced-f/0229,key_18820,"447c9191-ad68-42f0-9893-5e19de224be6
dbb6c142-d25d-42d0-b5eb-3520e85a7df2
87c2c736-ff1c-4e1b-b590-13525da1e873",,lettres (à l’exception des langues) non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/023,key_18821,"52a08bf8-b55c-4bb1-84fc-3f5fe1430d25
1c47bbf1-f248-4b0e-aa51-5b9483095c2e
8271723a-c84f-4b41-8fa7-376dcf514ed5",,langues,,,
http://data.europa.eu/esco/isced-f/0230,key_18822,"f4bbd6e2-5269-4c1c-badb-62c4b6c7bf2c
e26273b9-f05f-4289-9d23-e523d27d92e8
59215cfa-e89a-49c4-a5f8-3bd5f93f088a",,langues non définies,,,
http://data.europa.eu/esco/isced-f/0231,key_18823,"97cca897-cfc4-4397-9292-d4f959a92871
d9f32b84-a94e-4eca-b63b-58921c90de9e
a96ad772-a2b0-4eb0-aad3-5c477d84c4d7",,acquisition d’une langue,,,
http://data.europa.eu/esco/isced-f/0232,key_18824,"1d2823a1-d95c-4a70-a11c-e46b9e31d22d
989214fc-d086-4b99-9d0a-90dbbb7145cd
201a8294-31a3-4f6a-a721-5085292b473b",,littérature et linguistique,,,
http://data.europa.eu/esco/isced-f/0239,key_18825,"e6c899f2-779f-4577-9454-794789b79ed6
0ad33862-94f6-42c4-a5a0-845cdf33880f
aa0268c7-21a1-4010-acbd-5b0acb579114",,langues non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/028,key_18826,"ee2f293f-e344-4c1c-843f-764f1c870f33
75b10672-444b-43d7-b00c-67e3157cf261
b442a0d3-3f8d-4038-87d6-2a22ec5798a4",,programmes interdisciplinaires et certifications impliquant les arts et les lettres,,,
http://data.europa.eu/esco/isced-f/0288,key_18827,"ef5fb068-3470-4e0a-94ac-055aa14deca2
f4968ab5-4deb-49da-b0f5-4602e4a819b0
34e7a8c7-9539-4310-a2c8-33bca582c930",,programmes interdisciplinaires et certifications impliquant les arts et les lettres,,,
http://data.europa.eu/esco/isced-f/029,key_18828,"e9ccaadb-5128-4402-b7e6-e8c07a80fa7b
9293fbfb-0a81-4ea8-95a7-ac40e7d68d11
c9fa9723-15b9-45e6-a6f2-11da5b858bce",,arts et lettres non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/0299,key_18829,"1a08890a-ca58-4d4d-9f4c-049b7ed64d2d
c2f70935-bd8c-42de-bf04-fc7738f09d98
e95c3e33-9654-474f-a5f4-270c59711250",,arts et lettres non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/03,key_18830,"1cf982a0-44c0-4135-b82d-86826b7a47ef
46268bf9-190f-4025-9183-1b59a660a5a2
40fbe2b5-cffe-44f9-9abc-97731783dffb",,"sciences sociales, journalisme et information",,,
http://data.europa.eu/esco/isced-f/030,key_18831,"80a4812f-a9ac-4b39-ae54-629984c9ed80
1231b017-e2e1-497f-b83f-22a4d7c56afb
af09d836-8542-4093-b180-cef0ed283dc3",,"sciences sociales, journalisme et information non définis",,,
http://data.europa.eu/esco/isced-f/0300,key_18832,"14ddb7d8-5ae6-4069-93e5-883647547551
a912e1bf-ac4a-434d-a19d-8c6f1559ce13
ee4905f4-31fb-448b-b4c4-b171eb4f7b60",,"sciences sociales, journalisme et information non définis",,,
