conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/36500a31-3204-45b2-bf75-5cfe06d9cea2,utiliser la gestion thermique,released,skill/competence,sector-specific,,"Fournir des solutions de gestion thermique pour la conception de produits, le développement de systèmes et les dispositifs électroniques utilisés pour protéger les systèmes et applications de haute puissance dans des environnements difficiles. Ces solutions peuvent ensuite faire l’objet d’une collaboration avec les clients ou d’autres ingénieurs.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,protéger des dispositifs tic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/367c240d-5f34-423a-86b1-866ad27206ea,convertir des documents du format analogique au format numérique,released,skill/competence,cross-sector,convertir un document du format analogique au format numérique | convertir les documents du format analogique au format numérique | numériser des documents  scanner des documents  utiliser un convertisseur analogique-numérique | créer des documents au format numérique,"Télécharger des documents analogiques en les convertissant en format numérique, en utilisant un matériel et des logiciels spécialisés.",http://data.europa.eu/esco/skill/9af1bd12-01bd-4d6a-947b-69e64f23150a | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c | http://data.europa.eu/esco/skill/b769f524-0f25-44d7-8538-5c46710a040e,"traiter des informations qualitatives | gérer, collecter et stocker des données numériques | gérer des documents numériques"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3703eac1-8941-4d14-b305-b03f653b08c8,créer des contenus d'information en ligne,released,skill/competence,sector-specific,,"Créer et poster des informations par téléchargement, par exemple sur des sites web, des blogs et des médias sociaux.",http://data.europa.eu/esco/skill/96a67da1-881f-4d09-927e-ac75fcff4d93 | http://data.europa.eu/esco/skill/d1815c8a-7755-4fe3-bacf-68bb0b6a0b55,compiler des contenus | mettre au point du matériel d’instruction ou promotionnel
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/377861af-f966-4c87-a2db-7e99904312b9,systèmes d'information géographique,released,knowledge,sector-specific,,"Les outils utilisés pour la cartographie et la localisation géographique, tels que le GPS (système de positionnement global), les systèmes d’information géographique (SIG) et la télédétection (télédétection).",http://data.europa.eu/esco/isced-f/0532,sciences de la terre
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d,achats électroniques,released,knowledge,sector-specific,,Le fonctionnement et les méthodes de gestion des achats électroniques.,http://data.europa.eu/esco/isced-f/0416,vente en gros et au détail
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/37a438f3-e28c-4e32-83c5-299f047c1dc9,appliquer des outils de développement de contenu,released,skill/competence,cross-sector,,"Utiliser des outils spécialisés de développement de contenu, tels que des systèmes de gestion de contenu et de terminologie, des systèmes de mémoire de traduction, des vérificateurs linguistiques et des éditeurs de textes pour produire, compiler et transformer des contenus conformément à des normes spécifiées.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,utiliser des outils numériques de collaboration et de productivité
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/382c11ed-20d5-4ae7-b60e-15fec527fa6c,appliquer des techniques d’analyse statistique,released,skill/competence,cross-sector,mettre en œuvre des techniques d’analyse statistique | appliquer une technique d’analyse statistique | mettre en pratique des techniques d’analyse statistique | appliquer des méthodes d’analyse statistique | appliquer des techniques statistiques | employer des techniques d’analyse statistique,"Utiliser des modèles (statistiques descriptives ou inférentielles) et techniques (extraction de données ou apprentissage automatique) pour l’analyse statistique et les outils de TIC afin d’analyser des données, découvrir des corrélations et des prévisions.",http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af | http://data.europa.eu/esco/skill/19ba11f3-9c99-41fd-a7c9-f77e6a026186,analyser et évaluer des informations et des données | effectuer des calculs
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/38716afc-a93b-44ab-96cc-2ecf67edcf32,procéder à la reprogrammation de l’informatique en nuage,released,skill/competence,sector-specific,,"Optimiser l’application pour utiliser au mieux les services et les fonctionnalités de l’informatique en nuage, migrer le code d’application existant pour qu’il fonctionne sur l’infrastructure en nuage.
	",http://data.europa.eu/esco/skill/1e7ed56a-6d6b-422f-962e-38543d150755 | http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,gérer les changements dans un système de TIC | programmer des systèmes informatiques
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/398b4b25-fb61-4003-9293-50914d8bfcba,utiliser un serveur média,released,skill/competence,cross-sector,,Configurer et exécuter un serveur média.,http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,mettre en place des systèmes informatiques
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43,apprentissage automatique,released,knowledge,cross-sector,,"Les principes, méthodes et algorithmes de l’apprentissage automatique, un sous-domaine de l’intelligence artificielle. Les modèles d’apprentissage automatique courants tels que les modèles supervisés ou non supervisés, les modèles semi-supervisés et les modèles d’apprentissage par renforcement.
	",http://data.europa.eu/esco/skill/e465a154-93f7-4973-9ce1-31659fe16dd2 | http://data.europa.eu/esco/isced-f/0619,principes de l’intelligence artificielle | technologies de l’information et de la communication (tic) non classés ailleurs
