conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cb08443-192d-475b-89ce-15901ed1a900,skill/competence,transversal,interagir verbalement en slovaque,released,s'exprimer oralement en slovaque,Communiquer oralement en slovaque.,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,slovaque
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cc1fa63-1b28-44df-a93c-d09b12389a2f,skill/competence,transversal,interagir verbalement en basque,released,s'exprimer oralement en basque,Communiquer oralement en basque.,http://data.europa.eu/esco/skill/a28fa5f1-be5b-4608-8376-acea8c2f8cb1,basque
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cccda28-82cc-4e47-9442-af0cb4d64016,skill/competence,transversal,écrire en serbe,released,,Rédiger des textes en serbe.,http://data.europa.eu/esco/skill/c5cb0cc1-c40b-4544-a21c-8472f0b5c14a,serbe
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40842478-ad09-4be9-a889-97299b013609,skill/competence,transversal,écrire en hébreu,released,,Rédiger des textes en hébreu.,http://data.europa.eu/esco/skill/8a45f04a-cd28-4ac1-8e8b-ecfd21be0b18,hébreu
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/41253322-dc32-4d79-941c-3a8c230a1d85,skill/competence,transversal,écrire en berbère,released,,Rédiger des textes en berbère.,http://data.europa.eu/esco/skill/6f34bd05-1297-4913-92ff-85a604242b2f,berbère
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/416ca9da-3a58-4522-89a2-5746576feddd,skill/competence,transversal,écrire en vietnamien,released,,Rédiger des textes en vietnamien.,http://data.europa.eu/esco/skill/bf60009d-8afb-4306-9b0d-cfe2f66ab08f,vietnamien
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/421910b5-70e1-429e-8b32-0df5518b7ddd,skill/competence,transversal,comprendre le tchèque écrit,released,,Lire et comprendre des textes rédigés en tchèque.,http://data.europa.eu/esco/skill/da0795a7-6866-4afc-81ed-5e3aa398f058,tchèque
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4264f3aa-037e-44f4-bb08-90d2337953ee,skill/competence,transversal,écrire en portugais,released,,Rédiger des textes en portugais.,http://data.europa.eu/esco/skill/584c13e8-fd06-4ca3-a45b-cca5b2f147a7,portugais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42b7c03a-3ed5-4dc1-adc0-ff1fb8d4d697,skill/competence,transversal,écrire en danois,released,,Rédiger des textes en danois.,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1,danois
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/450e047f-bb60-4eaa-bbcf-5e7af43e7f2a,skill/competence,transversal,écrire en bulgare,released,,Rédiger des textes en bulgare.,http://data.europa.eu/esco/skill/d5fd4958-4ca6-4d06-845f-713e2c459612,bulgare
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/45289df8-d02d-4f08-9802-2c7deae944ad,knowledge,transversal,sanskrit,released,sanscrit,La langue sanscrite.,http://data.europa.eu/esco/skill/1d0de98f-c5a6-4607-aea9-d432794f144b | http://data.europa.eu/esco/skill/e434e71a-f068-44ed-8059-d1af9eb592d7 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,langues classiques | Langues classiques | maîtriser des langues
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/45ab3524-935d-4bc0-a7f3-1cf3be7e5987,skill/competence,transversal,écrire en géorgien,released,,Rédiger des textes en géorgien.,http://data.europa.eu/esco/skill/b2c1f90a-72ce-4499-ab9a-a9a5c9355d5b,géorgien
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/46d20520-381c-40c9-9de5-f635d0755923,skill/competence,transversal,comprendre le bulgare écrit,released,,Lire et comprendre des textes rédigés en bulgare.,http://data.europa.eu/esco/skill/d5fd4958-4ca6-4d06-845f-713e2c459612,bulgare
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,knowledge,transversal,allemand,released,,La langue allemande.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,maîtriser des langues | Langues
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/486e4f39-e968-41f4-955e-56e9eba96ef5,skill/competence,transversal,comprendre l'allemand écrit,released,,Lire et comprendre des textes rédigés en allemand.,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,allemand
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/49edb5ac-b80c-4c02-8509-d0e05889031e,skill/competence,transversal,comprendre le kurde parlé,released,,Comprendre le kurde oral.,http://data.europa.eu/esco/skill/2874065e-6ca3-430c-912a-467da3c23704,kurde
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4aaa3e87-2b29-4a83-bdff-cbe51db03fc5,skill/competence,transversal,écrire en monténégrin,released,,Rédiger des textes en monténégrin.,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,monténégrin
